state_name,state_id,district_name,district_id
ANDAMAN & NICOBAR ISLANDS,26,NICOBAR,447
ANDAMAN & NICOBAR ISLANDS,26,NORTH AND MIDDLE ANDAMAN,446
ANDAMAN & NICOBAR ISLANDS,26,SOUTH ANDAMAN,445
ANDHRA PRADESH,18,ALLURI SITHARAMA RAJU (ASR),753
ANDHRA PRADESH,18,ANAKAPALLI,666
ANDHRA PRADESH,18,ANANTHAPUR,331
ANDHRA PRADESH,18,ANNAMAYA,667
ANDHRA PRADESH,18,BAPATLA,668
ANDHRA PRADESH,18,CHITTOOR,333
ANDHRA PRADESH,18,DR. B. R. AMBEDKAR KONASEEMA,673
ANDHRA PRADESH,18,EAST GODAVARI,344
ANDHRA PRADESH,18,ELURU,669
ANDHRA PRADESH,18,GUNTUR,338
ANDHRA PRADESH,18,KAKINADA,672
ANDHRA PRADESH,18,KRISHNA,336
ANDHRA PRADESH,18,KURNOOL,335
ANDHRA PRADESH,18,NANDYAL,678
ANDHRA PRADESH,18,NELLORE,340
ANDHRA PRADESH,18,NTR,677
ANDHRA PRADESH,18,PALNADU,680
ANDHRA PRADESH,18,PARVATHIPURAM MANYAM,676
ANDHRA PRADESH,18,PRAKASAM,339
ANDHRA PRADESH,18,SRIKAKULAM,343
ANDHRA PRADESH,18,SRI SATYA SAI,683
ANDHRA PRADESH,18,TIRUPATI,682
ANDHRA PRADESH,18,VISAKHAPATNAM,341
ANDHRA PRADESH,18,VIZIANAGARAM,342
ANDHRA PRADESH,18,WEST GODAVARI,337
ANDHRA PRADESH,18,YSR,332
ARUNACHAL PRADESH,30,ANJAW,711
ARUNACHAL PRADESH,30,CHANGLANG,515
ARUNACHAL PRADESH,30,DIBANG VALLEY,516
ARUNACHAL PRADESH,30,EAST KAMENG,505
ARUNACHAL PRADESH,30,EAST SIANG,509
ARUNACHAL PRADESH,30,KAMLE,712
ARUNACHAL PRADESH,30,KRA DAADI,713
ARUNACHAL PRADESH,30,KURUNG KUMEY,511
ARUNACHAL PRADESH,30,LEPARADA,714
ARUNACHAL PRADESH,30,LOHIT,514
ARUNACHAL PRADESH,30,LONGDING,715
ARUNACHAL PRADESH,30,LOWER DIBANG VALLEY,716
ARUNACHAL PRADESH,30,LOWER SIANG,717
ARUNACHAL PRADESH,30,LOWER SUBANSIRI,512
ARUNACHAL PRADESH,30,NAMSAI,718
ARUNACHAL PRADESH,30,PAKKE KESSANG,719
ARUNACHAL PRADESH,30,PAPUM PARE,510
ARUNACHAL PRADESH,30,SHI YOMI,720
ARUNACHAL PRADESH,30,SIANG,721
ARUNACHAL PRADESH,30,TAWANG,506
ARUNACHAL PRADESH,30,TIRAP,517
ARUNACHAL PRADESH,30,UPPER SIANG,508
ARUNACHAL PRADESH,30,UPPER SUBANSIRI,513
ARUNACHAL PRADESH,30,WEST KAMENG,504
ARUNACHAL PRADESH,30,WEST SIANG,507
ASSAM,28,BAKSA,722
ASSAM,28,BARPETA,482
ASSAM,28,BISWANATH,723
ASSAM,28,BONGAIGAON,488
ASSAM,28,CACHAR,500
ASSAM,28,CHARAIDEO,724
ASSAM,28,CHIRANG,725
ASSAM,28,DARRANG,492
ASSAM,28,DHEMAJI,494
ASSAM,28,DHUBRI,489
ASSAM,28,DIBRUGARH,498
ASSAM,28,DIMA HASAO,726
ASSAM,28,GOALPARA,486
ASSAM,28,GOLAGHAT,497
ASSAM,28,HAILAKANDI,501
ASSAM,28,HOJAI,727
ASSAM,28,JORHAT,495
ASSAM,28,KAMRUP,478
ASSAM,28,KAMRUP METRO,728
ASSAM,28,KARBI ANGLONG,484
ASSAM,28,KARIMGANJ,502
ASSAM,28,KOKRAJHAR,490
ASSAM,28,LAKHIMPUR,493
ASSAM,28,MAJULI,729
ASSAM,28,MARIGAON,485
ASSAM,28,NAGAON,483
ASSAM,28,NALBARI,480
ASSAM,28,SIBSAGAR,496
ASSAM,28,SONITPUR,491
ASSAM,28,SOUTH SALMARA MANCACHAR,730
ASSAM,28,TINSUKIA,499
ASSAM,28,UDALGURI,731
ASSAM,28,WEST KARBI ANGLONG,732
BIHAR,35,ARARIA,614
BIHAR,35,ARWAL,562
BIHAR,35,AURANGABAD(BH),582
BIHAR,35,BANKA,570
BIHAR,35,BEGUSARAI,567
BIHAR,35,BHAGALPUR,568
BIHAR,35,BHOJPUR,557
BIHAR,35,BUXAR,556
BIHAR,35,DARBHANGA,607
BIHAR,35,EAST CHAMPARAN,606
BIHAR,35,GAYA,561
BIHAR,35,GOPALGANJ,599
BIHAR,35,JAMUI,569
BIHAR,35,JEHANABAD,563
BIHAR,35,KAIMUR (BHABUA),558
BIHAR,35,KATIHAR,613
BIHAR,35,KHAGARIA,610
BIHAR,35,KISHANGANJ,615
BIHAR,35,LAKHISARAI,565
BIHAR,35,MADHEPURA,571
BIHAR,35,MADHUBANI,604
BIHAR,35,MUNGER,566
BIHAR,35,MUZAFFARPUR,600
BIHAR,35,NALANDA,555
BIHAR,35,NAWADA,560
BIHAR,35,PATNA,554
BIHAR,35,PURNIA,612
BIHAR,35,ROHTAS,559
BIHAR,35,SAHARSA,611
BIHAR,35,SAMASTIPUR,608
BIHAR,35,SARAN,597
BIHAR,35,SHEIKHPURA,564
BIHAR,35,SHEOHAR,603
BIHAR,35,SITAMARHI,602
BIHAR,35,SIWAN,598
BIHAR,35,SUPAUL,609
BIHAR,35,VAISHALI,601
BIHAR,35,WEST CHAMPARAN,605
CHANDIGARH,4,CHANDIGARH,30
CHATTISGARH,16,BALOD,763
CHATTISGARH,16,BALODA BAZAR,764
CHATTISGARH,16,BALRAMPUR,765
CHATTISGARH,16,BASTAR,309
CHATTISGARH,16,BEMETARA,766
CHATTISGARH,16,BIJAPUR,310
CHATTISGARH,16,BILASPUR,314
CHATTISGARH,16,DANTEWADA,312
CHATTISGARH,16,DHAMTARI,307
CHATTISGARH,16,DURG,303
CHATTISGARH,16,GARIYABAND,767
CHATTISGARH,16,GAURELLA PENDRA MARWAHI,768
CHATTISGARH,16,JANJGIR-CHAMPA,315
CHATTISGARH,16,JASHPUR,318
CHATTISGARH,16,KANKER,311
CHATTISGARH,16,KAWARDHA,305
CHATTISGARH,16,KONDAGAON,769
CHATTISGARH,16,KORBA,316
CHATTISGARH,16,KORIYA,320
CHATTISGARH,16,MAHASAMUND,308
CHATTISGARH,16,MUNGELI,770
CHATTISGARH,16,NARAYANPUR,313
CHATTISGARH,16,RAIGARH,317
CHATTISGARH,16,RAIPUR,306
CHATTISGARH,16,RAJNANDGAON,304
CHATTISGARH,16,SUKMA,771
CHATTISGARH,16,SURAJPUR,772
CHATTISGARH,16,SURGUJA,319
DADRA & NAGAR HAVELI,12,DADRA & NAGAR HAVELI,219
DAMAN & DIU,11,DAMAN,220
DAMAN & DIU,11,DIU,199
DELHI,1,CENTRAL DELHI,5
DELHI,1,EAST DELHI,689
DELHI,1,NORTH DELHI,2
DELHI,1,NORTH EAST DELHI,8
DELHI,1,NORTH WEST DELHI,3
DELHI,1,SOUTH DELHI,6
DELHI,1,SOUTH EAST DELHI,1
